2022-07-21T17:19:02.460063-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-07-21T17:19:06.496222-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-07-21T17:19:07.257314-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-07-21T17:20:31.617755-05:00[America/Chicago] - User ID: asdf , Login Successful: false 
2022-07-21T17:20:34.062263-05:00[America/Chicago] - User ID: 2 , Login Successful: false 
2022-07-21T17:20:37.173746-05:00[America/Chicago] - User ID: 212 , Login Successful: false 
2022-07-21T19:35:42.962443-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T10:02:50.989389-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T10:11:11.705953-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T10:14:54.580006-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T10:15:57.354834-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T10:21:16.936832-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T10:22:09.032827-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T10:27:45.095997-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T11:30:11.009023-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T11:30:59.732854-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T11:32:45.965669-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T11:43:52.779275-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T11:51:43.589875-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T13:21:12.570280-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T13:23:27.532848-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-22T13:28:04.184349-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T12:43:48.452498-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T12:49:14.832438-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:32:01.910186-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:35:50.044778-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:47:01.908618-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:47:33.474100-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:48:50.007104-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:50:13.996501-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
